# t,winchvel,rotvel,lightbright
13695,-0.911068,0.0041815,0.113364
13778,-0.908152,0.00198078,0.107702
13861,-0.905235,0.00609088,0.123682
13944,-0.902319,0.0102011,0.139663
14027,-0.899403,0.0143112,0.155644
14110,-0.896486,0.0184213,0.171625
14193,-0.89357,0.0225314,0.187605
14276,-0.890654,0.0266416,0.203586
14359,-0.887737,0.0307517,0.219567
14442,-0.884821,0.0348618,0.235548
14525,-0.881904,0.038972,0.251528
14608,-0.878988,0.0430821,0.267509
14691,-0.876072,0.0471922,0.28349
14774,-0.873155,0.0513023,0.299471
14857,-0.870239,0.0554125,0.315451
14940,-0.867323,0.0595226,0.331432
15023,-0.864406,0.0636327,0.347413
15106,-0.86149,0.0677429,0.363394
15189,-0.858573,0.071853,0.379374
15272,-0.855657,0.0759631,0.395355
15355,-0.852741,0.0800732,0.411336
15438,-0.849824,0.0841835,0.427316
15521,-0.846908,0.0882936,0.443297
15604,-0.843992,0.0924037,0.459278
15687,-0.841075,0.0965139,0.475259
15770,-0.838159,0.100624,0.491239
15853,-0.835242,0.104734,0.50722
15936,-0.832326,0.108844,0.523201
16019,-0.82941,0.112954,0.539182
16102,-0.826493,0.117064,0.555162
16185,-0.823577,0.121175,0.571143
16268,-0.820661,0.125285,0.587124
16351,-0.817744,0.129395,0.603105
16434,-0.814828,0.133505,0.619085
16517,-0.811911,0.137615,0.635066
16600,-0.808995,0.141725,0.651047
16683,-0.806079,0.145835,0.667028
16766,-0.803162,0.149945,0.683008
16849,-0.800246,0.154056,0.698989
16932,-0.79733,0.158166,0.71497
17015,-0.794413,0.162276,0.730951
17098,-0.791497,0.166386,0.746931
17181,-0.78858,0.170496,0.762912
17264,-0.785664,0.174606,0.778893
17347,-0.782748,0.178716,0.794874
17430,-0.779831,0.182827,0.810854
17513,-0.776915,0.186937,0.826835
17596,-0.773999,0.191047,0.842816
17679,-0.771082,0.195157,0.858797
17762,-0.768166,0.199267,0.874777
17845,-0.765249,0.203377,0.890758
17928,-0.762333,0.207487,0.8908
18011,-0.759417,0.211597,0.868982
18094,-0.7565,0.215708,0.847165
18177,-0.753584,0.219818,0.825347
18260,-0.750668,0.223928,0.80353
18343,-0.747751,0.228038,0.781712
18426,-0.744835,0.232148,0.759895
18509,-0.741918,0.236258,0.738077
18592,-0.739002,0.240368,0.71626
18675,-0.736086,0.244479,0.694442
18758,-0.733169,0.248589,0.672625
18841,-0.730253,0.252699,0.650807
18924,-0.727337,0.256809,0.62899
19007,-0.72442,0.260919,0.607172
19090,-0.721504,0.265029,0.585355
19173,-0.718588,0.269139,0.563537
19256,-0.715671,0.27325,0.54172
19339,-0.712755,0.27736,0.519902
19422,-0.709838,0.28147,0.498085
19505,-0.706922,0.28558,0.476267
19588,-0.704006,0.28969,0.45445
19671,-0.701089,0.2938,0.432632
